Time,Temperature,Humidity,Wind Speed,Precipitation,Description,Day
1:51am,38,57,8,0,Fair,01/01/2021
2:51am,38,57,7,0,Fair,01/01/2021
3:51am,37,59,6,0,Fair,01/01/2021
4:51am,36,62,5,0,Fair,01/01/2021
5:51am,36,62,5,0,Fair,01/01/2021
6:51am,36,59,6,0,Fair,01/01/2021
7:51am,35,59,8,0,Fair,01/01/2021
8:51am,35,59,7,0,Mostly Cloudy,01/01/2021
9:51am,36,55,7,0,Mostly Cloudy,01/01/2021
10:51am,37,57,8,0,Mostly Cloudy,01/01/2021
11:51am,38,55,6,0,Cloudy,01/01/2021
12:51pm,38,60,8,0,Cloudy,01/01/2021
1:51pm,39,60,6,0,Cloudy,01/01/2021
2:51pm,40,60,9,0,Cloudy,01/01/2021
3:51pm,40,60,7,0,Cloudy,01/01/2021
4:51pm,40,63,8,0,Cloudy,01/01/2021
5:51pm,40,68,9,0,Light Rain,01/01/2021
6:51pm,39,73,10,0,Light Rain,01/01/2021
6:55pm,39,73,10,0,Light Rain,01/01/2021
7:51pm,39,73,8,0,Light Rain,01/01/2021
8:51pm,38,83,10,0.1,Rain,01/01/2021
9:45pm,37,87,9,0.1,Rain,01/01/2021
9:51pm,38,86,10,0.1,Rain,01/01/2021
10:51pm,38,86,14,0.2,Heavy Rain,01/01/2021
11:35pm,38,86,8,0.1,Rain,01/01/2021
11:51pm,38,86,10,0.1,Rain,01/01/2021
12:45am,39,87,14,0.1,Light Rain,01/01/2021
12:51am,41,82,14,0.1,Light Rain,01/01/2021
1:10am,41,82,14,0,Light Rain,02/01/2021
1:51am,38,86,14,0,Light Rain,02/01/2021
2:26am,38,86,8,0,Cloudy,02/01/2021
2:51am,38,86,9,0,Light Rain,02/01/2021
3:51am,40,86,8,0,Light Rain,02/01/2021
4:07am,40,86,7,0,Light Rain,02/01/2021
4:51am,40,89,6,0,Light Rain,02/01/2021
5:24am,41,89,6,0,Cloudy,02/01/2021
5:44am,41,89,6,0,Cloudy,02/01/2021
5:51am,41,89,5,0,Cloudy,02/01/2021
6:51am,41,86,9,0,Cloudy,02/01/2021
7:22am,40,86,7,0,Light Drizzle,02/01/2021
7:51am,40,86,5,0,Light Drizzle,02/01/2021
8:13am,40,86,5,0,Cloudy,02/01/2021
8:51am,41,86,3,0,Cloudy,02/01/2021
9:40am,43,80,14,0,Mostly Cloudy,02/01/2021
9:51am,43,80,10,0,Mostly Cloudy,02/01/2021
10:46am,48,66,10,0,Partly Cloudy,02/01/2021
10:51am,48,68,13,0,Partly Cloudy,02/01/2021
11:51am,52,61,18,0,Partly Cloudy,02/01/2021
12:51pm,52,57,17,0,Mostly Cloudy,02/01/2021
1:51pm,52,54,22,0,Mostly Cloudy / Windy,02/01/2021
2:51pm,52,53,18,0,Mostly Cloudy,02/01/2021
3:51pm,50,52,25,0,Partly Cloudy / Windy,02/01/2021
4:51pm,48,50,24,0,Partly Cloudy / Windy,02/01/2021
5:51pm,46,51,23,0,Mostly Cloudy / Windy,02/01/2021
6:51pm,45,53,20,0,Mostly Cloudy,02/01/2021
7:51pm,44,55,15,0,Partly Cloudy,02/01/2021
8:51pm,43,58,14,0,Partly Cloudy,02/01/2021
9:51pm,42,60,10,0,Mostly Cloudy,02/01/2021
10:51pm,41,62,10,0,Mostly Cloudy,02/01/2021
11:51pm,41,62,9,0,Mostly Cloudy,02/01/2021
12:51am,40,65,9,0,Mostly Cloudy,02/01/2021
1:51am,39,65,8,0,Mostly Cloudy,03/01/2021
2:51am,38,65,9,0,Mostly Cloudy,03/01/2021
3:51am,37,67,9,0,Mostly Cloudy,03/01/2021
4:51am,36,70,9,0,Mostly Cloudy,03/01/2021
5:51am,36,70,10,0,Mostly Cloudy,03/01/2021
6:51am,37,73,20,0,Cloudy,03/01/2021
7:06am,37,73,16,0,Mostly Cloudy,03/01/2021
7:51am,37,73,12,0,Cloudy,03/01/2021
8:51am,37,73,13,0,Cloudy,03/01/2021
9:51am,37,73,9,0,Cloudy,03/01/2021
10:47am,39,70,13,0,Wintry Mix,03/01/2021
10:51am,39,73,16,0,Wintry Mix,03/01/2021
11:36am,37,79,21,0,Wintry Mix / Windy,03/01/2021
11:47am,37,81,18,0.1,Light Rain,03/01/2021
11:51am,38,79,18,0.1,Light Rain,03/01/2021
12:39pm,38,79,18,0,Light Rain,03/01/2021
12:51pm,38,79,20,0,Light Rain,03/01/2021
1:51pm,39,79,18,0,Cloudy,03/01/2021
2:51pm,39,79,20,0,Cloudy,03/01/2021
3:51pm,39,79,18,0,Cloudy,03/01/2021
4:51pm,39,79,22,0,Light Drizzle / Windy,03/01/2021
5:24pm,38,83,16,0,Rain,03/01/2021
5:51pm,38,86,21,0,Light Rain / Windy,03/01/2021
6:01pm,39,82,20,0,Haze,03/01/2021
6:51pm,39,82,21,0,Light Rain / Windy,03/01/2021
7:51pm,39,82,14,0,Light Rain,03/01/2021
8:51pm,38,86,15,0,Cloudy,03/01/2021
9:51pm,38,86,15,0,Light Drizzle,03/01/2021
10:51pm,38,83,20,0,Light Rain,03/01/2021
11:51pm,39,82,16,0,Light Rain,03/01/2021
12:51am,39,82,16,0,Light Rain,03/01/2021
1:51am,38,83,9,0,Light Rain,04/01/2021
2:51am,38,79,10,0,Cloudy,04/01/2021
3:51am,38,79,6,0,Cloudy,04/01/2021
4:51am,37,79,9,0,Cloudy,04/01/2021
5:11am,37,79,7,0,Mostly Cloudy,04/01/2021
5:51am,37,79,9,0,Mostly Cloudy,04/01/2021
6:51am,37,79,7,0,Mostly Cloudy,04/01/2021
7:29am,37,79,6,0,Cloudy,04/01/2021
7:51am,37,79,6,0,Cloudy,04/01/2021
8:51am,37,79,7,0,Mostly Cloudy,04/01/2021
9:12am,37,79,9,0,Mostly Cloudy,04/01/2021
9:51am,38,76,12,0,Mostly Cloudy,04/01/2021
10:51am,41,70,9,0,Mostly Cloudy,04/01/2021
11:51am,42,67,7,0,Fair,04/01/2021
12:51pm,44,65,0,0,Fair,04/01/2021
1:36pm,43,62,8,0,Mostly Cloudy,04/01/2021
1:51pm,43,65,7,0,Mostly Cloudy,04/01/2021
2:51pm,43,65,10,0,Mostly Cloudy,04/01/2021
3:39pm,43,62,13,0,Cloudy,04/01/2021
3:51pm,43,65,9,0,Cloudy,04/01/2021
4:51pm,42,62,10,0,Cloudy,04/01/2021
5:51pm,41,65,9,0,Mostly Cloudy,04/01/2021
6:51pm,41,67,8,0,Fair,04/01/2021
7:51pm,41,67,6,0,Mostly Cloudy,04/01/2021
8:51pm,41,67,6,0,Mostly Cloudy,04/01/2021
9:51pm,40,70,10,0,Mostly Cloudy,04/01/2021
10:51pm,39,73,7,0,Mostly Cloudy,04/01/2021
11:51pm,40,70,7,0,Cloudy,04/01/2021
12:51am,39,73,7,0,Cloudy,04/01/2021
1:51am,39,73,8,0,Cloudy,05/01/2021
2:51am,39,70,7,0,Cloudy,05/01/2021
3:51am,39,70,5,0,Cloudy,05/01/2021
4:51am,39,70,5,0,Cloudy,05/01/2021
5:51am,39,67,6,0,Cloudy,05/01/2021
6:51am,39,67,3,0,Cloudy,05/01/2021
7:51am,39,67,6,0,Mostly Cloudy,05/01/2021
8:51am,39,67,6,0,Mostly Cloudy,05/01/2021
9:51am,40,68,5,0,Mostly Cloudy,05/01/2021
10:51am,40,63,8,0,Mostly Cloudy,05/01/2021
11:51am,41,60,9,0,Mostly Cloudy,05/01/2021
12:18pm,41,60,9,0,Mostly Cloudy,05/01/2021
12:51pm,41,60,8,0,Mostly Cloudy,05/01/2021
1:24pm,41,62,7,0,Mostly Cloudy,05/01/2021
1:51pm,41,62,6,0,Mostly Cloudy,05/01/2021
2:51pm,42,55,10,0,Cloudy,05/01/2021
3:51pm,42,55,8,0,Cloudy,05/01/2021
4:51pm,42,60,8,0,Cloudy,05/01/2021
5:33pm,42,58,9,0,Cloudy,05/01/2021
5:51pm,41,62,12,0,Cloudy,05/01/2021
6:51pm,41,60,13,0,Cloudy,05/01/2021
7:51pm,41,62,10,0,Cloudy,05/01/2021
8:16pm,41,62,9,0,Cloudy,05/01/2021
8:51pm,41,62,10,0,Cloudy,05/01/2021
8:58pm,40,65,10,0,Cloudy,05/01/2021
9:51pm,40,63,12,0,Cloudy,05/01/2021
10:51pm,39,65,13,0,Cloudy,05/01/2021
11:51pm,40,63,13,0,Mostly Cloudy,05/01/2021
12:51am,39,65,9,0,Partly Cloudy,05/01/2021
1:51am,38,70,9,0,Mostly Cloudy,06/01/2021
2:18am,38,70,9,0,Cloudy,06/01/2021
2:51am,39,67,10,0,Cloudy,06/01/2021
3:51am,39,67,8,0,Cloudy,06/01/2021
4:51am,39,70,10,0,Cloudy,06/01/2021
5:51am,39,70,12,0,Mostly Cloudy,06/01/2021
6:51am,38,73,9,0,Partly Cloudy,06/01/2021
7:51am,38,70,10,0,Partly Cloudy,06/01/2021
8:51am,37,73,9,0,Mostly Cloudy,06/01/2021
9:25am,37,73,8,0,Mostly Cloudy,06/01/2021
9:51am,38,70,12,0,Mostly Cloudy,06/01/2021
10:51am,39,65,16,0,Mostly Cloudy,06/01/2021
10:58am,39,65,13,0,Cloudy,06/01/2021
11:51am,39,62,14,0,Mostly Cloudy,06/01/2021
12:51pm,41,53,15,0,Fair,06/01/2021
1:51pm,41,49,21,0,Fair / Windy,06/01/2021
2:51pm,42,47,16,0,Fair,06/01/2021
3:51pm,42,49,20,0,Fair,06/01/2021
4:51pm,41,53,23,0,Fair / Windy,06/01/2021
5:51pm,40,55,21,0,Fair / Windy,06/01/2021
6:51pm,39,55,18,0,Fair,06/01/2021
7:51pm,38,57,15,0,Fair,06/01/2021
8:51pm,38,60,16,0,Partly Cloudy,06/01/2021
9:51pm,38,60,14,0,Partly Cloudy,06/01/2021
10:51pm,38,60,20,0,Fair,06/01/2021
11:51pm,37,59,18,0,Fair,06/01/2021
12:51am,37,59,17,0,,06/01/2021
1:51am,37,59,15,0,Fair,07/01/2021
2:51am,36,59,14,0,Fair,07/01/2021
3:51am,36,59,17,0,Fair,07/01/2021
4:51am,35,61,14,0,Fair,07/01/2021
5:51am,35,59,15,0,Fair,07/01/2021
6:51am,34,59,17,0,Fair,07/01/2021
7:51am,34,56,13,0,Fair,07/01/2021
8:51am,33,59,12,0,Fair,07/01/2021
9:51am,34,56,13,0,Partly Cloudy,07/01/2021
10:51am,36,52,15,0,Fair,07/01/2021
11:51am,37,52,14,0,Fair,07/01/2021
12:51pm,40,47,12,0,Fair,07/01/2021
1:51pm,42,40,14,0,Fair,07/01/2021
2:51pm,43,40,12,0,Fair,07/01/2021
3:51pm,43,42,14,0,Fair,07/01/2021
4:51pm,43,42,16,0,Fair,07/01/2021
5:51pm,42,45,17,0,Fair,07/01/2021
6:51pm,40,49,14,0,Fair,07/01/2021
7:51pm,38,53,18,0,Fair,07/01/2021
8:51pm,37,52,13,0,Fair,07/01/2021
9:51pm,35,57,14,0,Fair,07/01/2021
10:51pm,34,59,10,0,Fair,07/01/2021
11:51pm,34,59,9,0,Fair,07/01/2021
12:51am,33,61,12,0,,07/01/2021
1:51am,33,61,13,0,Fair,08/01/2021
2:51am,32,61,12,0,Fair,08/01/2021
3:51am,32,61,13,0,Fair,08/01/2021
4:51am,32,61,13,0,Fair,08/01/2021
5:51am,31,64,9,0,Fair,08/01/2021
6:51am,31,64,12,0,Partly Cloudy,08/01/2021
7:51am,31,61,12,0,Partly Cloudy,08/01/2021
8:51am,31,61,13,0,Partly Cloudy,08/01/2021
9:51am,32,61,8,0,Partly Cloudy,08/01/2021
10:51am,32,59,10,0,Mostly Cloudy,08/01/2021
11:51am,35,54,8,0,Mostly Cloudy,08/01/2021
12:51pm,37,50,7,0,Mostly Cloudy,08/01/2021
