Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
0,1691190000.0,0.09486757,100
1,1691193600.0,0.07812619,100
2,1691197200.0,0.057446506,100
3,1691200800.0,0.052677743,100
4,1691204400.0,0.04578427,100
5,1691208000.0,0.034843754,100
6,1691211600.0,0.011973022,100
7,1691215200.0,-0.009983551,100
8,1691218800.0,0.0834056,100
9,1691222400.0,0.12852177,100
10,1691226000.0,0.22197995,100
11,1691229600.0,0.21802552,100
12,1691233200.0,0.2181766,100
13,1691236800.0,0.24376169,100
14,1691240400.0,0.23309708,100
15,1691244000.0,0.2486463,100
16,1691247600.0,0.1844484,100
17,1691251200.0,0.16459231,100
18,1691254800.0,0.17579138,100
19,1691258400.0,0.13103327,100
20,1691262000.0,0.14766838,100
21,1691265600.0,0.09481118,100
22,1691269200.0,0.083328664,100
23,1691272800.0,0.07609169,100
0,1691190000.0,0.17423426,107
1,1691193600.0,0.1595618,107
2,1691197200.0,0.13888209,107
3,1691200800.0,0.16688718,107
4,1691204400.0,0.15833332,107
5,1691208000.0,0.15250172,107
6,1691211600.0,0.13628934,107
7,1691215200.0,0.14751306,107
8,1691218800.0,0.24757333,107
9,1691222400.0,0.30152494,107
10,1691226000.0,0.3949831,107
11,1691229600.0,0.40856016,107
12,1691233200.0,0.4099121,107
13,1691236800.0,0.43549722,107
14,1691240400.0,0.42483258,107
15,1691244000.0,0.44038165,107
16,1691247600.0,0.41520607,107
17,1691251200.0,0.39534998,107
18,1691254800.0,0.40654904,107
19,1691258400.0,0.34229612,107
20,1691262000.0,0.27168354,107
21,1691265600.0,0.20692182,107
22,1691269200.0,0.17809923,107
23,1691272800.0,0.17086224,107
0,1691190000.0,0.11033788,113
1,1691193600.0,0.09566544,113
2,1691197200.0,0.07498574,113
3,1691200800.0,0.073467165,113
4,1691204400.0,0.06657369,113
5,1691208000.0,0.060742095,113
6,1691211600.0,0.05412376,113
7,1691215200.0,0.065347485,113
8,1691218800.0,0.16540779,113
9,1691222400.0,0.28590026,113
10,1691226000.0,0.36943826,113
11,1691229600.0,0.42782664,113
12,1691233200.0,0.43696254,113
13,1691236800.0,0.4867643,113
14,1691240400.0,0.5164093,113
15,1691244000.0,0.5319584,113
16,1691247600.0,0.5067829,113
17,1691251200.0,0.4962578,113
18,1691254800.0,0.44257998,113
19,1691258400.0,0.40155727,113
20,1691262000.0,0.2736491,113
21,1691265600.0,0.20888732,113
22,1691269200.0,0.18006475,113
23,1691272800.0,0.1728278,113
0,1691190000.0,0.24795017,114
1,1691193600.0,0.23327771,114
2,1691197200.0,0.2060901,114
3,1691200800.0,0.24370007,114
4,1691204400.0,0.23680662,114
5,1691208000.0,0.23097502,114
6,1691211600.0,0.26213446,114
7,1691215200.0,0.2988099,114
8,1691218800.0,0.46074212,114
9,1691222400.0,0.53659135,114
10,1691226000.0,0.6300495,114
11,1691229600.0,0.6606269,114
12,1691233200.0,0.66197884,114
13,1691236800.0,0.68756396,114
14,1691240400.0,0.67689925,114
15,1691244000.0,0.6394574,114
16,1691247600.0,0.61370695,114
17,1691251200.0,0.60944974,114
18,1691254800.0,0.6751968,114
19,1691258400.0,0.576757,114
20,1691262000.0,0.38471138,114
21,1691265600.0,0.20797922,114
22,1691269200.0,0.16538723,114
23,1691272800.0,0.15815027,114
0,1691190000.0,0.09329806,116
1,1691193600.0,0.07862559,116
2,1691197200.0,0.057945926,116
3,1691200800.0,0.056427334,116
4,1691204400.0,0.049533863,116
5,1691208000.0,0.043702256,116
6,1691211600.0,0.045355126,116
7,1691215200.0,0.029408904,116
8,1691218800.0,0.08665621,116
9,1691222400.0,0.15599757,116
10,1691226000.0,0.24200718,116
11,1691229600.0,0.24400562,116
12,1691233200.0,0.24535756,116
13,1691236800.0,0.26813206,116
14,1691240400.0,0.2574674,116
15,1691244000.0,0.27301657,116
16,1691247600.0,0.21344765,116
17,1691251200.0,0.16304645,116
18,1691254800.0,0.17424566,116
19,1691258400.0,0.13600406,116
20,1691262000.0,0.087349854,116
21,1691265600.0,0.06036679,116
22,1691269200.0,0.03154424,116
23,1691272800.0,0.024307258,116
0,1691190000.0,0.1181089,12
1,1691193600.0,0.103436425,12
2,1691197200.0,0.067273445,12
3,1691200800.0,0.057558898,12
4,1691204400.0,0.056517947,12
5,1691208000.0,0.050686337,12
6,1691211600.0,0.0099870805,12
7,1691215200.0,0.020741286,12
8,1691218800.0,0.120801486,12
9,1691222400.0,0.2036492,12
10,1691226000.0,0.29710734,12
11,1691229600.0,0.31068432,12
12,1691233200.0,0.35497066,12
13,1691236800.0,0.38055578,12
14,1691240400.0,0.36989114,12
15,1691244000.0,0.38544023,12
16,1691247600.0,0.349009,12
17,1691251200.0,0.32915288,12
18,1691254800.0,0.34035197,12
19,1691258400.0,0.29108855,12
20,1691262000.0,0.22706881,12
21,1691265600.0,0.16230707,12
22,1691269200.0,0.13348447,12
23,1691272800.0,0.12624756,12
0,1691190000.0,0.093181044,120
1,1691193600.0,0.07850857,120
2,1691197200.0,0.059943378,120
3,1691200800.0,0.02997676,120
4,1691204400.0,0.023083284,120
5,1691208000.0,0.017251682,120
6,1691211600.0,-0.003992367,120
7,1691215200.0,-0.083713606,120
8,1691218800.0,-0.023876484,120
9,1691222400.0,0.04042099,120
10,1691226000.0,0.13387913,120
11,1691229600.0,0.14724754,120
12,1691233200.0,0.1473683,120
13,1691236800.0,0.15393485,120
14,1691240400.0,0.14327018,120
15,1691244000.0,0.13037258,120
16,1691247600.0,0.07018214,120
17,1691251200.0,0.05032617,120
18,1691254800.0,0.06152522,120
19,1691258400.0,-0.0027277742,120
20,1691262000.0,0.01615847,120
21,1691265600.0,-0.008232273,120
22,1691269200.0,-0.016888827,120
23,1691272800.0,-0.015748125,120
0,1691190000.0,0.19801618,125
1,1691193600.0,0.18334372,125
2,1691197200.0,0.16266401,125
3,1691200800.0,0.17360912,125
4,1691204400.0,0.16865951,125
5,1691208000.0,0.16282791,125
6,1691211600.0,0.17318691,125
7,1691215200.0,0.20725001,125
8,1691218800.0,0.30269134,125
9,1691222400.0,0.4669168,125
10,1691226000.0,0.76889306,125
11,1691229600.0,0.82131714,125
12,1691233200.0,1.1558956,125
13,1691236800.0,1.1502621,125
14,1691240400.0,1.2610723,125
15,1691244000.0,1.2779487,125
16,1691247600.0,1.2527735,125
17,1691251200.0,0.8419449,125
18,1691254800.0,0.7750935,125
19,1691258400.0,0.5607574,125
20,1691262000.0,0.4165404,125
21,1691265600.0,0.33660457,125
22,1691269200.0,0.307782,125
23,1691272800.0,0.27944475,125
0,1691190000.0,0.12334388,127
1,1691193600.0,0.10867143,127
2,1691197200.0,0.08799175,127
3,1691200800.0,0.08647316,127
4,1691204400.0,0.07957968,127
5,1691208000.0,0.07374807,127
6,1691211600.0,0.10035254,127
7,1691215200.0,0.11489955,127
8,1691218800.0,0.2973407,127
9,1691222400.0,0.42168644,127
10,1691226000.0,0.5218137,127
11,1691229600.0,0.57355994,127
12,1691233200.0,0.86440074,127
13,1691236800.0,0.95730644,127
14,1691240400.0,0.9376317,127
15,1691244000.0,0.92232776,127
16,1691247600.0,0.88676935,127
17,1691251200.0,1.220754,127
18,1691254800.0,1.3192792,127
19,1691258400.0,1.2498292,127
20,1691262000.0,0.7760062,127
21,1691265600.0,0.83728534,127
22,1691269200.0,0.807852,127
23,1691272800.0,0.6570133,127
0,1691190000.0,0.19961418,13
1,1691193600.0,0.13670835,13
2,1691197200.0,0.116028644,13
3,1691200800.0,0.107968025,13
4,1691204400.0,0.101074554,13
5,1691208000.0,0.08929438,13
6,1691211600.0,0.1846121,13
7,1691215200.0,0.37469804,13
8,1691218800.0,0.4909756,13
9,1691222400.0,0.5539672,13
10,1691226000.0,0.7004644,13
11,1691229600.0,0.7067697,13
12,1691233200.0,0.754481,13
13,1691236800.0,0.7800661,13
14,1691240400.0,0.8196169,13
15,1691244000.0,0.835166,13
16,1691247600.0,0.88417375,13
17,1691251200.0,0.8489196,13
18,1691254800.0,0.78692764,13
19,1691258400.0,0.7226747,13
20,1691262000.0,0.70257205,13
21,1691265600.0,0.53405267,13
22,1691269200.0,0.46199727,13
23,1691272800.0,0.24822764,13
0,1691190000.0,0.11504876,137
1,1691193600.0,0.10037631,137
