Hour,Timestamp,Busyness Predicted,Taxi Zone ID
0,1690758000.0,-0.7173430936164297,4
1,1690761600.0,-0.8153730607774529,4
2,1690765200.0,-0.8187741004544681,4
3,1690768800.0,-0.8396804914102373,4
4,1690772400.0,-0.9067009791631818,4
5,1690776000.0,-0.9089016518953681,4
6,1690779600.0,-0.9143033031470974,4
7,1690783200.0,-0.8725091673899555,4
8,1690786800.0,-0.8588928934029558,4
9,1690790400.0,-0.8577020060133959,4
10,1690794000.0,-0.8584224970369203,4
11,1690797600.0,-0.8382800633079371,4
12,1690801200.0,-0.7972675260262843,4
13,1690804800.0,-0.7826630615308667,4
14,1690808400.0,-0.7804623887986808,4
15,1690812000.0,-0.754354407748653,4
16,1690815600.0,-0.7807624805348874,4
17,1690819200.0,-0.7007380175462977,4
18,1690822800.0,-0.6790313819606419,4
19,1690826400.0,-0.6808319323778852,4
20,1690830000.0,-0.6789313513819069,4
21,1690833600.0,-0.6817322075865074,4
22,1690837200.0,-0.6755303117048915,4
23,1690840800.0,-0.6972369472905467,4
0,1690758000.0,-0.807770736793537,12
1,1690761600.0,-0.8495835187050755,12
2,1690765200.0,-0.873990979916595,12
3,1690768800.0,-0.8464825707642675,12
4,1690772400.0,-0.9042002146947885,12
5,1690776000.0,-0.9119025692574402,12
6,1690779600.0,-0.8818933956367186,12
7,1690783200.0,-0.8184650572632248,12
8,1690786800.0,-0.790765538408462,12
9,1690790400.0,-0.7530540102250881,12
10,1690794000.0,-0.7342482614227698,12
11,1690797600.0,-0.7114412894710215,12
12,1690801200.0,-0.6894345621491592,12
13,1690804800.0,-0.6945361216646818,12
14,1690808400.0,-0.6846330943698439,12
15,1690812000.0,-0.6141115363611482,12
16,1690815600.0,-0.6013076222829741,12
17,1690819200.0,-0.5148812022552965,12
18,1690822800.0,-0.5333868593214081,12
19,1690826400.0,-0.5649965222019012,12
20,1690830000.0,-0.5919047478818148,12
21,1690833600.0,-0.6360182331042753,12
22,1690837200.0,-0.6477218108163563,12
23,1690840800.0,-0.7048910422603144,12
0,1690758000.0,-0.9094018047890473,13
1,1690761600.0,-0.8710900931332587,13
2,1690765200.0,-0.8465826013430036,13
3,1690768800.0,-0.8407808277763305,13
4,1690772400.0,-0.9059007345332959,13
5,1690776000.0,-0.9125027527298546,13
6,1690779600.0,-0.9198049849775632,13
7,1690783200.0,-0.894497248557422,13
8,1690786800.0,-0.8512840385435829,13
9,1690790400.0,-0.8497835798625466,13
10,1690794000.0,-0.8226752930251621,13
11,1690797600.0,-0.8118719905217021,13
12,1690801200.0,-0.821174834344126,13
13,1690804800.0,-0.8096713177895161,13
14,1690808400.0,-0.8180738864033181,13
15,1690812000.0,-0.839780521988973,13
16,1690815600.0,-0.8617872493108355,13
17,1690819200.0,-0.8903959948292561,13
18,1690822800.0,-0.8944972485574214,13
